KEY,Model,SEED,Time,activations,batch_sizes,effective_nvar,first_hidden_layer,hidden_size,method_var_sel,n_layers,nb_epochs,nvar,optimizers,training_accuracy,validation_accuracy
NEURAL_NETWORK_ISIS_9_741,NEURAL_NETWORK,741,2018-08-31 12:44:34.670479,relu,5000,9,20,2,ISIS,4,200,20,adam,0.8575327620485904,0.8591294925049666
NEURAL_NETWORK_ISIS_9_741,NEURAL_NETWORK,741,2018-08-31 12:44:34.670479,relu,5000,9,20,5,ISIS,4,200,20,adam,0.8575327620485904,0.8591294925049666
NEURAL_NETWORK_ISIS_9_741,NEURAL_NETWORK,741,2018-08-31 12:44:34.670479,relu,5000,9,20,20,ISIS,4,200,20,adam,0.8575327620485904,0.8591294925049666
NEURAL_NETWORK_ISIS_9_741,NEURAL_NETWORK,741,2018-08-31 12:44:34.670479,relu,250,9,20,2,ISIS,10,200,20,adam,0.8575327620485904,0.8591294925049666
NEURAL_NETWORK_ISIS_9_741,NEURAL_NETWORK,741,2018-08-31 12:44:34.670479,relu,250,9,20,5,ISIS,10,200,20,adam,0.8575327620485904,0.8591294925049666
NEURAL_NETWORK_ISIS_9_741,NEURAL_NETWORK,741,2018-08-31 12:44:34.670479,relu,250,9,20,20,ISIS,10,200,20,adam,0.8612655281085153,0.8603937150081271
NEURAL_NETWORK_ISIS_9_741,NEURAL_NETWORK,741,2018-08-31 12:44:34.670479,relu,5000,9,20,2,ISIS,10,200,20,adam,0.8612655281085153,0.8603937150081271
NEURAL_NETWORK_ISIS_9_741,NEURAL_NETWORK,741,2018-08-31 12:44:34.670479,relu,5000,9,20,5,ISIS,10,200,20,adam,0.8612655281085153,0.8603937150081271
NEURAL_NETWORK_ISIS_9_741,NEURAL_NETWORK,741,2018-08-31 12:44:34.670479,relu,5000,9,20,20,ISIS,10,200,20,adam,0.8612655281085153,0.8603937150081271
NEURAL_NETWORK_ISIS_11_741,NEURAL_NETWORK,741,2018-08-31 15:53:33.879696,relu,250,11,5,2,ISIS,1,200,30,adam,0.8618073812462463,0.8688820661007766
NEURAL_NETWORK_ISIS_11_741,NEURAL_NETWORK,741,2018-08-31 15:53:33.879696,relu,250,11,5,5,ISIS,1,200,30,adam,0.8618073812462463,0.8688820661007766
NEURAL_NETWORK_ISIS_11_741,NEURAL_NETWORK,741,2018-08-31 15:53:33.879696,relu,250,11,5,20,ISIS,1,200,30,adam,0.8618073812462463,0.8688820661007766
NEURAL_NETWORK_ISIS_11_741,NEURAL_NETWORK,741,2018-08-31 15:53:33.879696,relu,5000,11,5,2,ISIS,1,200,30,adam,0.8618073812462463,0.8688820661007766
NEURAL_NETWORK_ISIS_11_741,NEURAL_NETWORK,741,2018-08-31 15:53:33.879696,relu,5000,11,5,5,ISIS,1,200,30,adam,0.8618073812462463,0.8688820661007766
NEURAL_NETWORK_ISIS_11_741,NEURAL_NETWORK,741,2018-08-31 15:53:33.879696,relu,5000,11,5,20,ISIS,1,200,30,adam,0.8618073812462463,0.8688820661007766
NEURAL_NETWORK_ISIS_11_741,NEURAL_NETWORK,741,2018-08-31 15:53:33.879696,relu,250,11,5,2,ISIS,4,200,30,adam,0.8618073812462463,0.8688820661007766
NEURAL_NETWORK_ISIS_11_741,NEURAL_NETWORK,741,2018-08-31 15:53:33.879696,relu,250,11,5,5,ISIS,4,200,30,adam,0.8626301952702083,0.8697850821744627
NEURAL_NETWORK_ISIS_11_741,NEURAL_NETWORK,741,2018-08-31 15:53:33.879696,relu,250,11,5,20,ISIS,4,200,30,adam,0.8673463244319414,0.8708687014628861
NEURAL_NETWORK_ISIS_11_741,NEURAL_NETWORK,741,2018-08-31 15:53:33.879696,relu,5000,11,5,2,ISIS,4,200,30,adam,0.8673463244319414,0.8708687014628861
NEURAL_NETWORK_ISIS_11_741,NEURAL_NETWORK,741,2018-08-31 15:53:33.879696,relu,5000,11,5,5,ISIS,4,200,30,adam,0.8673463244319414,0.8708687014628861
NEURAL_NETWORK_ISIS_11_741,NEURAL_NETWORK,741,2018-08-31 15:53:33.879696,relu,5000,11,5,20,ISIS,4,200,30,adam,0.8673463244319414,0.8708687014628861
NEURAL_NETWORK_ISIS_11_741,NEURAL_NETWORK,741,2018-08-31 15:53:33.879696,relu,250,11,5,2,ISIS,10,200,30,adam,0.8673463244319414,0.8708687014628861
